Plot,TreeID,TreeID_new,Species,Sector ,DBH_u_92,DBH_u_94,DBH_u_97,FOUND_09,Tag_hgt,DBH_Tag_Hgt_09,DBH_BH_09,DBH_Corr_Factor,DBH_c_92_live,DBH_c_94_live,DBH_c_97_live,DBH_09_live,DBH_19_live,DBH_92_dead,DBH_94_dead,DBH_97_dead,DBH_09_dead,DBH_19_dead,,HGT_92,HGT_94,HGT_97,HGT_19,COMMENTS_1992,COMMENTS_1994,COMMENTS_1997,COMMENTS_2009,COMMENTS_2019_May,COMMENTS_2019_Oct,Comments_2020_data,Conk,Blind_Conk,Scar,Fork_Crook,Frost_Crack,Mistletoe,R_Branch,DB_Top,Crown_Class,L_Crown
5,--,1,Sx,,,,,,,,,,,,,--,13.1,,,,,,,,,--,--,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,12,Sx,,,,,,,,,,,,,--,15,,,,,,,,,--,9.3,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,13,Bl,,,,,,,,,,,,,--,23.9,,,,,,,,,--,13.3,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,14,Bl,,,,,,,,,,,,,--,14.9,,,,,,,,,--,--,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,15,Sx,,,,,,,,,,,,,--,17,,,,,,,,,--,--,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,16,Bl,,,,,,,,,,,,,--,22.7,,,,,,,,,--,15.5,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,17,Bl,,,,,,,,,,,,,--,14,,,,,,,,,--,--,,,,,ADDED MAY 2019,,,,,,,,,,,,
5,--,801,Bl,,,,,,,,,,,,,--,9.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,802,Bl,,,,,,,,,,,,,--,9.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,803,Bl,,,,,,,,,,,,,--,8.4,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,804,Bl,,,,,,,,,,,,,--,11.7,,,,,,,,,--,9.4,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,805,Bl,,,,,,,,,,,,,--,11,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,806,Bl,,,,,,,,,,,,,--,12.2,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,807,Sx,,,,,,,,,,,,,--,10.7,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,808,Bl,,,,,,,,,,,,,--,7.6,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,809,Sx,,,,,,,,,,,,,--,7.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,810,Bl,,,,,,,,,,,,,--,9.2,,,,,,,,,--,8.1,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,811,Bl,,,,,,,,,,,,,--,10.9,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,812,Bl,,,,,,,,,,,,,--,10.3,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,813,Bl,,,,,,,,,,,,,--,11.3,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,814,Bl,,,,,,,,,,,,,--,7.6,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,815,Sx,,,,,,,,,,,,,--,7.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,817,Bl,,,,,,,,,,,,,--,8.3,,,,,,,,,--,--,,,,,,"ADDED OCT 2019; extreme press, running parallel to ground",,,,,,,,,,,
5,--,818,Bl,,,,,,,,,,,,,--,13.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,819,Bl,,,,,,,,,,,,,--,11,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,820,Bl,,,,,,,,,,,,,--,10.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,821,Bl,,,,,,,,,,,,,--,13.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,822,Bl,,,,,,,,,,,,,--,8.4,,,,,,,,,--,6.5,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,823,Bl,,,,,,,,,,,,,--,8.1,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,825,Bl,,,,,,,,,,,,,--,7.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,827,Bl,,,,,,,,,,,,,--,7.7,,,,,,,,,--,--,,,,,,ADDED OCT 2019; under canopy,,,,,,,,,,,
5,--,828,Sx,,,,,,,,,,,,,--,8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,829,Bl,,,,,,,,,,,,,--,12.6,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,830,Bl,,,,,,,,,,,,,--,9.8,,,,,,,,,--,9.3,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,831,Bl,,,,,,,,,,,,,--,11.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,832,Bl,,,,,,,,,,,,,--,9.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,833,Bl,,,,,,,,,,,,,--,8.3,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,834,Bl,,,,,,,,,,,,,--,9.3,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,835,Bl,,,,,,,,,,,,,--,7.6,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,836,Bl,,,,,,,,,,,,,--,13,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,837,Bl,,,,,,,,,,,,,--,9.4,,,,,,,,,--,6.7,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,838,Bl,,,,,,,,,,,,,--,8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,839,Bl,,,,,,,,,,,,,--,7.9,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,840,Sx,,,,,,,,,,,,,--,10.4,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,841,Bl,,,,,,,,,,,,,--,8.8,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
5,--,842,Bl,,,,,,,,,,,,,--,7.5,,,,,,,,,--,--,,,,,,ADDED OCT 2019,,,,,,,,,,,
6,689,N/A,Bl,1,14.2,14.6,14.8,Y,0.96,15.9,15.7,0.987421384,14.02138365,14.4163522,14.61383648,15.7,16.6,,,,,,,,,,,,,Dbh 1.0m,Live,,,,,,,,,,,,,4
6,690,N/A,Bl,1,13.8,13.9,14.2,Y,1.05,14.8,14.5,0.97972973,13.52027027,13.61824324,13.91216216,14.5,15.2,,,,,,,,,,,,,,Live,,,,,,,,,,,,,7
6,691,314,Sx,1,51.8,53,55,Y,1.22,60.4,59.7,0.988410596,51.19966887,52.38576159,54.36258278,59.7,64.8,,,,,,,28.4,28.1,28.6,30.9,,,,Live,,,,,,,,,,,,1,7
6,694,N/A,Bl,1,11.2,12.4,12.9,Y,1.12,15.2,15,0.986842105,11.05263158,12.23684211,12.73026316,15,16.5,,,,,,,,,,15,spike1,,,Live,,,,,,,,,,,,3,7
6,695,315,Bl,1,18.5,19.1,19.7,Y,1.18,21.8,22.1,1.013761468,18.75458716,19.36284404,19.97110092,22.1,23.7,,,,,,,,,,16.7,,,,Live,,,,,,,,,,,,2,5
6,696,N/A,Bl,1,10.2,10.2,10.5,Y,1.17,11.7,11.4,0.974358974,9.938461538,9.938461538,10.23076923,11.4,11.4,,,,,,,,,,,,,,Live,,moribund,,,,,,,,,,3,6
6,699,N/A,Bl,1,7.1,7.5,7.7,Y,1.12,9.6,9.2,0.958333333,,,,9.2,10.3,,,,,,,,,,,,,,Live,,,,,,,,,,,,4,7
6,484,322,Bl,1,38.5,35,36.5,Y,1.3,41,41,1,38.5,35,36.5,41,44.7,,,,,,,18.3,19.4,20.3,23.5,,DBH smaller (Double checked),"dying, schoolmarm red foliage",Live,"live, forked",,,,,,1,,,,,2,8
6,201,316,Bl,1,18.3,19.5,21,Y,1.08,24.8,24.4,0.983870968,18.00483871,19.18548387,20.66129032,24.4,27.5,,,,,,,,,,21.4,,,,Live,,,,,,,,,,,,2,6
6,202,317,Bl,1,10.9,11.3,11.5,Y,1.03,14,14,1,10.9,11.3,11.5,14,15,,,,,,,,,,,spike1,Spike,Dbh 1.1m ,Live,,broken top in 3,,,,,,,,,,3,8
6,203,319,Bl,1,20.6,21.1,22,Y,1.37,26.1,27,1.034482759,21.31034483,21.82758621,22.75862069,27,28.6,,,,,,,,,,21.9,,,,Live,,,,,,,,,,,,2,7
6,204,318,Bl,1,22.7,23.4,24.4,Y,1.3,27.6,27.6,1,22.7,23.4,24.4,27.6,29,,,,,,,,,,18.2,,,,Live,,broken top in 3,,,,,,,,,,2,5
6,205,320,Bl,1,20,21.4,22,Y,1.3,25.2,25.2,1,20,21.4,22,25.2,28.1,,,,,,,,,,21.8,,,,Live,,,,,,,,,,,,2,6
6,206,N/A,Bl,1,9.7,9.7,9.9,Y,,,,,9.7,9.7,9.9,,,,,,9.9,,,,,,,,,sweep at base,Standing dead,dead stand 2019,,,,,,1,,,,,4,6
6,207,321,Bl,1,14,14.9,16,Y,1.17,20.5,20.2,0.985365854,13.79512195,14.68195122,15.76585366,20.2,23.8,,,,,,,,,,20.3,,,,Live,,,,,,,,,,,,3,6
6,208,N/A,Bl,1,8.3,8.6,8.9,Y,1.2,9.7,9.7,1,8.3,8.6,8.9,9.7,,,,,,9.7,,,,,,,,,Live,dead stand 2019,,,,,,,,,,,4,6
6,209,N/A,Bl,1,8,8,8,Y,,,,,8,8,8,,,,,,8,,,,,,,,DBH smaller (Double checked),,Standing dead,,dead on ground,,,,,,,,,,4,4
6,210,N/A,Bl,1,9.3,9.6,10,Y,1.2,12,11.6,0.966666667,8.99,9.28,9.666666667,11.6,,,,,,11.6,,,,,,spike1,Spike,,Live,dead standing 2019,,,,,,,,,,,4,4
6,211,N/A,Bl,1,9.3,9.4,9.5,Y,,,,,9.3,9.4,9.5,,,,,,9.5,,,,,,,,,,Dead,dead standing 2019,,,,,,2,,,,,4,4
6,212,N/A,Bl,1,12.2,12.4,12.8,Y,1.3,13.7,13.7,1,12.2,12.4,12.8,13.7,14.2,,,,,,,,,,,,LAB,,Live,,,,,,,,,,,,3,6
6,214,N/A,Bl,1,8.4,8.7,9.1,Y,1.44,10.1,10.4,1.02970297,8.64950495,8.958415842,9.37029703,10.4,10.9,,,,,,,6.2,6.7,7,,,,,Live,"ratty, live but low vigor",,,,,2,,,,,,4,6
6,215,N/A,Bl,2,7.2,7.5,7.9,Y,1.22,9.3,8.7,0.935483871,,,,8.7,9.4,,,,,,,,,,,natural,,,Live,,,,,,,,,,,,4,6
6,216,N/A,Bl,2,29.8,29.8,30.1,Y,1.19,30.8,30.8,1,29.8,29.8,30.1,30.8,,,,,,30.8,,,,,,,,,Live,dead standing 2019,,,,,,,,,,,2,7
6,217,N/A,Bl,2,10.3,10.7,11,Y,1.3,12,12,1,10.3,10.7,11,12,12.4,,,,,,,,,,,,,,Live,,,,,,,,,,,,3,7
6,218,323,Bl,2,10.9,11.8,12.9,Y,1.3,16.4,16.4,1,10.9,11.8,12.9,16.4,19.5,,,,,,,,,,19.6,,,,Live,,,,,,,,,,,,3,7
6,219,N/A,Bl,2,7.9,8.1,9.5,Y,1.21,9.2,9.2,1,7.9,8.1,9.5,9.2,,,,,,9.2,,7.8,8.4,8.6,,,,,Live,dead/down 2019,,,,,,,,,,,4,6
6,223,326,Bl,2,19.8,19.8,20.4,Y,1.08,23.5,23.5,1,19.8,19.8,20.4,23.5,25.3,,,,,,,,,,21,,,1.0 Dbh,Live,,,,,,1,,,,,,2,5
6,224,325,Bl,2,19.7,20.6,21.7,Y,1.12,24.8,25,1.008064516,19.85887097,20.76612903,21.875,25,27,,,,,,,,,,18.7,,,,Live,,,,,,1,,2,,,,2,6
6,226,N/A,Bl,2,5.9,6.1,6.3,Y,1.3,7.5,7.5,1,,,,7.5,8.4,,,,,,,,,,8.7,snowpress,,,Live,,,,,,,3,,,,,4,4
6,228,N/A,Bl,2,10.6,10.7,11,Y,1.3,11.7,11.7,1,10.6,10.7,11,11.7,12.5,,,,,,,,,,,,,,Live,,,,,,,,,,,,3,4
6,229,N/A,Bl,2,17.2,17.8,18.5,Y,1.08,20,20.1,1.005,17.286,17.889,18.5925,20.1,21,,,,,,,,,,18.3,,,,Live,,,,,,,,,,,,2,6
6,231,N/A,Bl,2,7.1,7.1,7.1,Y,1.24,7.4,7.4,1,,,,,7.5,,,,,,,,,,,,LAB,under 224,Live - under crown of 224,,,,,,,,,,,,4,4
6,232,N/A,Bl,2,18,18.1,18.5,Y,1.19,19.1,19,0.994764398,17.90575916,18.0052356,18.40314136,19,19.7,,,,,,,,,,,,,,Live,"OK, fork in 2",,,,,2,2,,,,,2,4
6,233,327,Bl,2,16,16.7,17.4,Y,1.16,20,19.8,0.99,15.84,16.533,17.226,19.8,21.9,,,,,,,,,,19.7,,,,Live,,,,,,,,,,,,3,6
6,234,N/A,Bl,2,14.8,15.2,15.8,Y,1.16,17.1,17.1,1,14.8,15.2,15.8,17.1,,,,,,17.1,,,,,,,,,Live,"dead standing, broken top",,,,,,,,,,,3,4
6,235,324,Sx,2,15.4,16,16.8,Y,1.15,20.8,20.6,0.990384615,15.25192308,15.84615385,16.63846154,20.6,25.2,,,,,,,10.7,11.6,12.4,18.8,,,crook,Live with crook at base,,,,,,,1,,,,,3,5
6,101,N/A,Bl,3,11.8,12.4,13,Y,1.12,15.5,15.5,1,11.8,12.4,13,15.5,16.4,,,,,,,,,,14.7,natural,LAB,,Live,,broken top in 3,,,,,,,,,,3,7
6,104,328,Bl,3,14,14.7,15.6,Y,1.15,18.4,18,0.97826087,13.69565217,14.38043478,15.26086957,18,20.4,,,,,,,,,,18.5,,,,Live,,,,,,,,,,,,3,6
6,105,N/A,Bl,3,23,23.5,24.7,Y,1.3,27.7,27.7,1,23,23.5,24.7,27.7,,,,,,27.7,,,,,,,,,Live,down/windthrown pre-2019,,,,,,,,,,,2,7
6,106,329,Bl,3,21.4,22.1,23.8,Y,1.3,29.1,29.1,1,21.4,22.1,23.8,29.1,33.3,,,,,,,,,,21.7,,,,Live,,,,,,,,,,,,2,6
6,107,,Bl,3,8.7,9.1,9.4,Y,1.15,10.2,10,0.980392157,8.529411765,8.921568627,9.215686275,10,11,,,,,,,,,,7.3,,,,Live,,,,,,,,,,,,4,4
6,108,330,Bl,3,29.7,30.2,30.7,Y,1.2,33.7,34,1.008902077,29.96439169,30.46884273,30.97329377,34,35.9,,,,,,,,,,22.4,,,,Live,,,NO DATA AVAILABLE FOR 1997 (SG). DBH value for period estimated from previous and next measurement values. (MJ),,,,2,,,,,2,6
6,110,331,Bl,3,21.4,22.2,23.1,Y,0.94,26.4,25.8,0.977272727,20.91363636,21.69545455,22.575,25.8,28,,,,,,,,,,22.2,,,,Live,,,,,,,,,,,,2,3
6,111,,Bl,3,15,15,14.8,Y,,,,,15,15,14.8,,,,,,14.8,,,,,,,,,Dbh 1.0m,Standing dead,,missing,,,,1,2,,,,,3,2
6,112,332,Bl,3,21.6,21.4,22.3,Y,1.13,25.2,24.9,0.988095238,21.34285714,21.1452381,22.03452381,24.9,26.3,,,,,,,,,,15.6,,,"broken top, catface",Live with no broken top or catface,,"broken top, mulitple leaders",,,,,1,,,,,2,6
6,113,,Bl,3,20.8,22.3,22.4,Y,,,,,20.8,22.3,22.4,,,,,,22.4,,,,,,,,On growths knotts,,Standing dead,still stand dead broken 50%,,,,,,,,,,,2,7
6,117,,Bl,4,10.6,11,11.5,Y,1.07,12.7,12.7,1,10.6,11,11.5,12.7,14.8,,,,,,,,,,16.5,natural,,,Live,,,,,,,,,,,,3,7
6,118,,Bl,4,5.2,5.4,5.7,Y,1.2,7.6,7.3,0.960526316,,,,,8.4,,,,,,,3.9,4.2,4.2,6.9,,,,Live,,,,,,,,,,,,4,3
6,120,,Bl,4,26.3,25.8,26.6,Y,0.95,28.7,28.5,0.993031359,26.11672474,25.62020906,26.41463415,28.5,30.2,,,,,,,,,,22.2,,DBH smaller (double checked),Dbh 1.0m,Live,,,,,,,,,,,,2,5
6,121,,Bl,4,6.9,7,7.2,Y,1.2,7.9,7.2,0.911392405,,,,,7.9,,,,,,,,,,,Spike2,Spike 2,Dbh 1.0m,Live,,,,,,,,,,,,4,3
6,123,,Sx,4,6.9,7.4,8.1,Y,1.04,9.4,8.7,0.925531915,,,7.496808511,8.7,9.5,,,,,,,6.5,7,7.2,,,,Red leader,Live with good leader,,,,,,,,,,,,4,9
6,124,N/A,Bl,4,29.7,30.3,31,Y,1.14,33.9,33.8,0.997050147,29.61238938,30.21061947,30.90855457,33.8,36,,,,,,,,,,25.8,,,,Live,,,,,,,,1,,,,2,6
6,126,333,Bl,4,11.8,12.2,13,Y,1.3,16.2,16.2,1,11.8,12.2,13,16.2,18.8,,,,,,,,,,13.9,,,,Live,,,,,,,,,,,,3,5
6,130,,Bl,4,9.3,9.6,10.1,Y,1.17,12.1,12,0.991735537,9.223140496,9.520661157,10.01652893,12,13.6,,,,,,,,,,,,,,Live,,,,,,,,1,,,,4,6
6,131,,Bl,4,10.9,11.4,11.9,Y,1.3,14.5,14.5,1,10.9,11.4,11.9,14.5,16,,,,,,,,,,15.8,,Below Nail,,Live,,,,,,,,,,,,3,6
6,133,,Bl,4,8.6,8.8,8.9,Y,0.95,9.3,9.1,0.978494624,8.415053763,8.610752688,8.708602151,9.1,9.5,,,,,,,,,,,snowpress,,Dbh at .9 m ,Live,,,,,,,,,,,,4,5
6,134,,Sx,4,41,41.8,42.6,Y,1.05,45.4,42.6,0.938325991,38.47136564,39.22202643,39.97268722,42.6,44.6,,,,,,,28.9,29.4,29.4,29.4,,,Dbh at 0.8m,Live,,confirmed 2019 height,,,,,,,,,,2,6
6,135,,Bl,4,11.7,11.9,12.2,Y,1.07,13.5,13.4,0.992592593,11.61333333,11.81185185,12.10962963,13.4,14.8,,,,,,,,,,,,,,Live,,,,,,,,,,,,3,5
6,136,334,Bl,4,19.2,20.2,21.1,Y,1.14,24.2,24.3,1.004132231,19.27933884,20.28347107,21.18719008,24.3,27,,,,,,,,,,22.7,,,,Live,,,,,,,,,,,,2,6
6,127,,Bl,4,12.7,13,13.6,Y,1.3,15.7,15.7,1,12.7,13,13.6,15.7,,,,,,15.7,,4.1,10.3,11.1,,,,,Stem snapped at 7m / still alive / winter 08/09 damage,dead standing,,,,,,,,,,,3,6
6,128,,Bl,4,9.9,10.2,10.7,Y,1.22,11.5,11.4,0.991304348,9.813913043,10.11130435,10.60695652,11.4,12.3,,,,,,,,,,,,,,Live,,,,,,,2,,,,,3,6
6,New,,Bl,3,,,,,,,11.9,,,,,11.9,,,,,,,,,,,,,,,New ingress - live,live,,,,,,,,,,,,
6,New,,Bl,3,,,,,,,11,,,,,11,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
6,,335,Bl,,,,,,,,,,,,,,14.6,,,,,,,,,,12.3,,,,,ADDED MAY 2019,,,,,,,,,,,,
6,,336,Bl,,,,,,,,,,,,,,13,,,,,,,,,,10.8,,,,,ADDED MAY 2019,,,,,,,,,,,,
7,238,415,Bl,1,10.3,10.5,12.3,Y,1.14,20.1,20,0.995024876,10.24875622,10.44776119,12.23880597,20,24.9,,,,,,,,,,17.1,,LAB,,Live,,,,,,,1,,,,,3,5
7,243,416,Bl,1,13.2,13.1,14.5,Y,1.22,20,20.4,1.02,13.464,13.362,14.79,20.4,23.4,,,,,,,,,,15.5,,,,Live,,,,,,1,3,,,,,3,4
7,244,421,Bl,1,4.4,4.9,5.6,Y,1.22,9.2,9.1,0.989130435,,,,9.1,11.6,,,,,,,,,,,LAB; LS,LAB,,Live,,,,,,,,,,,,4,5
7,246,420,Bl,1,5.5,6.1,7,Y,1.3,10.1,10.1,1,,,,10.1,11.9,,,,,,,,,,12,,LAB,missing,Live (not missing),,,,,,,,,,,,4,7
7,247,419,Bl,1,5.1,5.4,6.4,Y,1.16,12,11.7,0.975,,,,11.7,16,,,,,,,,,,12.5,,,,Live,,,,,,,,,,,,4,6
7,249,417,Bl,1,23.3,23.4,34.6,Y,1.23,27.9,27.9,1,23.3,23.4,34.6,27.9,29.8,,,,,,,21.7,21.2,,19.9,,,Broken top,Live with good top (1997 DBH error?),,,,,,1,2,,,,,2,6
7,253,418,Bl,1,8.8,9.4,11,Y,1.15,16.7,16.6,0.994011976,8.747305389,9.343712575,10.93413174,16.6,20.8,,,,,,,,,,13.2,,LAB,missing,Live (not missing),,,,,,,3,,,,,4,6
7,254,333,Bl,1,4.4,5.1,6.2,Y,1.16,10.7,10.5,0.981308411,,,,10.5,15.2,,,,,,,,,,12.6,,,,Live,,,,,,,,,,,,4,4
7,255,386,Bl,2,15.8,16.1,17.3,Y,1.09,22.9,22.4,0.978165939,15.45502183,15.74847162,16.92227074,22.4,25.7,,,,,,,,,,20.7,natural,,Gone,Live (not gone),,,,,,,,,,,,3,5
7,257,422,Bl,2,5,5.7,7.1,Y,1.19,12.2,12,0.983606557,,,,12,16.4,,,,,,,3.2,3.4,,10.7,,LAB,Gone,Live (not gone),,,,,,,3,,,,,4,3
7,260,379,Bl,2,16.4,17.5,18.2,Y,1.14,22.4,20.6,0.919642857,15.08214286,16.09375,16.7375,20.6,22.1,,,,,,,,,,17.4,,DBH over Canker,,Live,,,,,,,,,,,,3,4
7,261,376,Sx,2,16.3,17.8,19.9,Y,1.3,25.1,25.1,1,16.3,17.8,19.9,25.1,29.6,,,,,,,13.7,13.6,,17.9,,Species was wrong,,Live,,,,,,,,,,,,2,5
7,262,328,Bl,2,6.4,6.8,8.5,Y,1.15,15.2,15.1,0.993421053,,,8.444078947,15.1,20.5,,,,,,,,,,15.3,,LAB,,Live,,,,,,,,,,,,4,6
7,564,430,Sx,3,11.7,11.6,13.1,Y,1.2,16.6,16.4,0.987951807,11.55903614,11.46024096,12.94216867,16.4,20.2,,,,,,,13.1,12.2,,14.5,,,Broken top,Live with good top,,,,,,,3,,,,,3,5
7,565,N/A,Bl,3,7.3,7.3,7.9,Y,1.16,8.7,8.7,1,,,7.9,8.7,9.3,,,,,,,,,,,,Spike 2,,Live,,,,,,,,,,,,4,2
7,566,424,Bl,3,10.4,10.5,12.1,Y,1.2,16.6,16.6,1,10.4,10.5,12.1,16.6,19.2,,,,,,,7.7,8,8.6,13.8,,Rotten?,,Live,,,,,,,5,1,,,,3,3
7,569,431,Bl,3,15.5,16.2,18.1,Y,1.3,24.6,24.6,1,15.5,16.2,18.1,24.6,29,,,,,,,,,,16.6,natural,,,Live,,fork in 2,,,,,,,,,,3,7
7,571,,Bl,3,7.5,7.8,8.6,Y,1.3,9.2,9.2,1,7.5,7.8,8.6,9.2,9.8,,,,,,,,,,6.3,,,Broken top,Live with good top,,,,,,,,,,,,4,4
7,572,423,Bl,3,10.4,11,13.2,Y,1.23,20.1,20,0.995024876,10.34825871,10.94527363,13.13432836,20,25.3,,,,,,,,,,19.4,,LAB,,Live,,,,,,,,,,,,3,6
7,573,427,Bl,3,10.2,10.9,12,Y,1.24,16.1,16.1,1,10.2,10.9,12,16.1,19.1,,,,,,,,,,14.3,,,,Live,,,,,,1,1,,,,,3,8
7,575,,Bl,3,6.6,6.7,6.9,Y,1.3,7.5,7.5,1,,,,7.5,,,,,,7.5,,,,,,,,,Live,,standing dead,,,,,,,,,,4,3
7,579,380,Sx,4,8.8,9.2,10.5,Y,1.2,16,15.7,0.98125,8.635,9.0275,10.303125,15.7,20.2,,,,,,,8.4,8.2,8.9,15.6,,Broken Top,wrong species Recovered broken top,Live Sx (not Bl),,,,,,,3,,,,,4,4
7,580,,Sx,4,12.1,12.2,,Y,,,,,12.1,12.2,,,,,,12.2,,,,9.8,10.7,,,,,broken top - Dead,Standing dead - broken top,dead,,,,,3,5,,,,3,3,2
7,581,385,Bl,4,4.5,4.8,5.8,Y,1.3,11.2,11.2,1,,,,11.2,16,,,,,,,,,,12.8,Snowpress,,,Live,,,,,,,,,,,3,4,3
7,582,428,Bl,4,11.1,11.3,12.4,Y,1.19,18.3,18.1,0.989071038,10.97868852,11.17650273,12.26448087,18.1,21.7,,,,,,,,,,14.9,,,,Live,,,,,,,1,,,,,3,3
7,584,327,Bl,4,5,5.5,7.5,Y,0.86,12,11.8,0.983333333,,,,11.8,14.4,,,,,,,,,,,,,Dbh at 1.0m,Live,,,,,,,,,,,,4,5
7,586,426,Bl,4,6.9,7.7,8.5,Y,1.14,12.6,12.4,0.984126984,,7.577777778,8.365079365,12.4,15.3,,,,,,,,,,,,,,Live,,,,,,,,,,,,4,4
7,589,429,Bl,4,10.2,10.7,12.3,Y,1.15,18.6,18.4,0.989247312,10.09032258,10.58494624,12.16774194,18.4,22.4,,,,,,,8.3,8.6,8.8,14,,,,Live,,,,,,,,,,,,3,4
7,591,,Bl,4,5.2,5.8,6.8,Y,1.16,9.7,9.5,0.979381443,,,,9.5,10.9,,,,,,,3.7,4.2,4.4,,"LS, LG",Snowpress,,Live,,,,,,2,,,,,,4,4
7,New,,Bl,1,,,,,,,11.5,,,,,11.5,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,2,,,,,,,7.9,,,,,7.9,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,2,,,,,,,8.5,,,,,8.5,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,2 or 3,,,,,,,7.6,,,,,7.6,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,3,,,,,,,8.5,,,,,8.5,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,3,,,,,,,9.2,,,,,9.2,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,4,,,,,,,7.8,,,,,7.8,,,,,,,,,,,,,,,New ingress - live with dead top (snapped at base of dead top),,,,,,,,,,,,,
7,New,,Bl,4,,,,,,,13,,,,,13,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,1 or 4,,,,,,,9.2,,,,,9.2,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,New,,Bl,1,,,,,,,7.8,,,,,7.8,,,,,,,,,,,,,,,New ingress - live,,,,,,,,,,,,,
7,,378,Bl,,,,,,,,,,,,,,20.8,,,,,,,,,,13.2,,,,,ADDED 2019,,,,,,,,,,,,
7,,384,Bl,,,,,,,,,,,,,,14,,,,,,,,,,13.4,,,,,ADDED 2019,,,,,,,,,,,,
7,,383,Bl,,,,,,,,,,,,,,14.4,,,,,,,,,,11.3,,,,,ADDED 2019,,,,,,,,,,,,
7,,414,Bl,,,,,,,,,,,,,,18,,,,,,,,,,12,,,,,ADDED 2019,,,,,,,,,,,,
7,,382,Bl,,,,,,,,,,,,,,12.8,,,,,,,,,,10.6,,,,,ADDED 2019,,,,,,,,,,,,
7,,513,Bl,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,ADDED OCT 2019; broken @ 4 m,,,,,,,,,,,
