Plot,TreeID,TreeID_new,Species,Sector ,DBH_u_92,DBH_u_94,DBH_u_97,FOUND_09,Tag_hgt,DBH_Tag_Hgt_09,DBH_BH_09,DBH_Corr_Factor,DBH_c_92_live,DBH_c_94_live,DBH_c_97_live,DBH_09_live,DBH_19_live,DBH_92_dead,DBH_94_dead,DBH_97_dead,DBH_09_dead,DBH_19_dead,,HGT_92,HGT_94,HGT_97,HGT_19,COMMENTS_1992,COMMENTS_1994,COMMENTS_1997,COMMENTS_2009,COMMENTS_2019_May,COMMENTS_2019_Oct,Comments_2020_data,Conk,Blind_Conk,Scar,Fork_Crook,Frost_Crack,Mistletoe,R_Branch,DB_Top,Crown_Class,L_Crown
3,446,N/A,Bl,3,5.3,5.8,6,Y,1.3,8.5,8.5,1,,,,8.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,447,N/A,Bl,3,5.6,6,6.2,Y,1.3,7.2,7.2,1,,,,,8.4,,,,,,,,,,,natural,Natural,,,,found / meas. Oct 2019,,,,,,,,,,,6
3,448,,Bl,3,23.9,24.2,24.5,,,,,,23.9,24.2,24.5,,,,,,24.5,,,,,,,,,,,,Missing - presumed dead,Missing in 2009 and 2019  - presumed as dead,,,,,,,,,,7
3,449,305,Bl,3,4.5,5.2,5.7,Y,1.22,7.9,7.9,1,,,,7.9,11,,,,,,,,,,9.9,,,,Wind throw scar,,,,,,,,,,,,,8
3,450,N/A,Bl,3,10.8,11.4,11.6,Y,1.24,13,12.9,0.992307692,10.71692308,11.31230769,11.51076923,12.9,14.5,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,6
3,451,306,Bl,3,7.9,8.2,8.4,Y,1.19,10.3,9.9,0.961165049,7.593203883,7.881553398,8.073786408,9.9,12.3,,,,,,,,,,,Spike1,,,,,,,,,,,,,,,,5
3,452,N/A,Bl,3,7.8,8.2,8.5,Y,1.23,9.7,9.7,1,7.8,8.2,8.5,9.7,,,,,,9.7,,,,,,,,,,dead/ broken 2019,,,,,,,,,,,,6
3,453,N/A,Bl,3,8.6,9.2,9.7,Y,1.3,11.7,11.7,1,8.6,9.2,9.7,11.7,13.4,,,,,,,,,,12,,,,,,,,,,,,,,,,,7
3,454,N/A,Bl,3,9.5,9.7,10,Y,1.3,10.9,10.9,1,9.5,9.7,10,10.9,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,455,,Bl,3,7.7,7.7,7.8,Y,,,7.9,,7.7,7.7,7.8,7.9,,,,,,7.9,,,,,,,Leaner,,Leaning at 70 degrees,"Missing, was leaning in 2009",,,,,,3,,,,,,6
3,456,N/A,Bl,3,33,33,33.6,Y,0.86,35.5,35.1,0.988732394,32.62816901,32.62816901,33.22140845,35.1,36.8,,,,,,,22.6,21.4,21.2,22.1,,Dying or dead top; tattered by adj. Sx,,Furrowed bark,,,,,,,,,,,,,6
3,457,N/A,Sx,3,41.8,42,42.2,Y,1.04,43,42.2,0.981395349,41.02232558,41.21860465,41.41488372,42.2,,,,,,41.7,,26.1,26.8,26.3,,,Originally marked as Bl,scarred by windthrow Bl,,grey dead 2019,,,,,,,,,,,,5
3,458,,Bl,3,9.7,10.2,10.7,Y,1.15,12.4,12.2,0.983870968,9.543548387,10.03548387,10.52741935,12.2,,,,,,,,,,,,,,missing,,,,NO DATA AVAILABLE FOR 1997 (SG). DBH value for period estimated from previous and next measurement values. (MJ),,,,,,,,,,7
3,459,N/A,Sx,3,35.7,35.5,35.8,Y,1.1,35.9,35.1,0.977715877,34.90445682,34.70891365,35.00222841,35.1,,,,,,34.3,,25.8,24.7,25.1,,,,,,grey dead 2019,,,,,,,,,,,,5
3,460,N/A,Bl,3,7.9,8.1,8.3,Y,1.12,9.7,9.7,1,7.9,8.1,8.3,9.7,,,,,,9.7,,,,,,,,,,dead broken 2019,,,,,,,,,,,,5
3,461,N/A,Bl,3,9.1,9.5,9.9,Y,1.22,11.2,11.2,1,9.1,9.5,9.9,11.2,,,,,,12.6,,,,,,,,missing,,dead broken 2019,,NO DATA AVAILABLE FOR 1997 (SG). DBH value for period estimated from previous and next measurement values. (MJ),,,,,,,,,,5
3,463,N/A,Bl,3,7.2,7.4,7.8,Y,1.2,8.2,8,0.975609756,,,7.609756098,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,6
